Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-01-07 20:42:29,VENBTC,BUY,0.0002915,34,0.009911,0.034,VEN
2018-01-07 20:42:01,LTCBTC,SELL,0.016755,0.6,0.010053,0.00001005,BTC
2018-01-01 13:36:23,IOTABTC,BUY,0.00026555,63,0.01672965,0.063,IOTA
2018-01-01 13:35:10,LTCBTC,SELL,0.016883,0.99,0.01671417,0.00001671,BTC
2017-12-27 16:24:22,VENBTC,BUY,0.000124,46,0.005704,0.046,VEN
2017-12-27 16:22:09,IOTABTC,SELL,0.00025237,23,0.00580451,0.0000058,BTC
2017-12-24 11:14:04,REQBTC,BUY,0.00001918,315,0.0060417,0.315,REQ
2017-12-24 11:13:22,BCCBTC,SELL,0.201942,0.008,0.001615536,0.00000162,BTC
2017-12-24 11:13:17,BCCBTC,SELL,0.201942,0.021,0.004240782,0.00000424,BTC
2017-12-23 22:06:25,IOTABTC,BUY,0.0002607,24,0.0062568,0.024,IOTA
2017-12-23 22:04:46,LTCBTC,SELL,0.019015,0.34,0.0064651,0.00000647,BTC
